Change ID,Impact Level,Change Type,Category Code,Category Name,Substantive,Confidence (%),Change Summary,Old Document Location (Page),Old Document Section,Old Requirement Text,New Document Location (Page),New Document Section,New Requirement Text,Numerical Changes,Obligation Analysis,Impact Explanation
CHG-0029,LOW,MODIFIED,C03,Modified Requirement,Yes,67,Section Page 18 -> Page 28. Category: Modified Requirement. Moderate textual changes detected.,18,,"on need-to-know basis, with appropriate controls to prevent security breaches and/or data misuse.",28,,"'need to know' basis, with appropriate controls to prevent security breaches or data misuse;",,,
CHG-0030,LOW,MODIFIED,C03,Modified Requirement,Yes,76,Section Page 15 -> Page 29. Category: Modified Requirement.,15,,Outsourcing Agreement,29,,E.2 Outsourcing Agreement,,,
CHG-0031,LOW,MODIFIED,C03,Modified Requirement,Yes,65,Section Page 11 -> Page 25. Category: Modified Requirement. Moderate textual changes detected.,11,,"9.
 IT Outsourcing Policy",25,,C.1 Outsourcing Policy,,,
CHG-0032,LOW,MODIFIED,C03,Modified Requirement,Yes,76,Section Page 11 -> Page 33. Category: Modified Requirement.,11,,"8.
Inventory of Outsourced Services",33,,E.4 Inventory of Outsourced Services,,,
CHG-0033,INFORMATIONAL,REWORDED,C17,Editorial Change,No,78,Section Page 28 -> Page 41. Category: Editorial Change.,28,,"cover, as per applicability and cloud usage, inter alia, aspects such as roles and responsibilities of both RE and CSP in cloud governance, access and network controls, configurations, monitoring mechanism, data encryption, log review, change management, incident response, and resilience preparedness and testing, etc.",41,,"applicability and cloud usage, inter alia, aspects such as roles and responsibilities of both bank and CSP in cloud governance, access and network controls, configurations, monitoring mechanism, data encryption, log review,
change
management,
incident
response,
and
resilience preparedness and testing.",,,
CHG-0034,INFORMATIONAL,REWORDED,C17,Editorial Change,No,78,Section Page 11 -> Page 33. Category: Editorial Change.,11,,"(including key entities involved in their supply chains). Further, REs shall map their dependency on third parties and periodically evaluate the information received from the service providers.",33,,"(including key entities involved in their supply chains). Further, the bank shall map its dependency on third parties and periodically evaluate the information received from the service providers.",,,
CHG-0035,LOW,MODIFIED,C03,Modified Requirement,Yes,74,Section Page 24 -> Page 37. Category: Modified Requirement.,24,,"Services policy addresses the entire lifecycle of data, i.e., covering the entire span of time from generation of the data, its entry into the cloud, till the data is permanently erased/ deleted. The REs shall ensure that the procedures specified are consistent with business needs and legal and regulatory requirements.",37,,"these Directions, addresses the entire lifecycle of data, i.e., covering the entire span of time from generation of the data, to its entry into the cloud, and till the data is permanently erased or deleted. It shall also ensure that specified procedures are consistent with business needs, and legal and regulatory requirements;",,,
CHG-0036,LOW,MODIFIED,C03,Modified Requirement,Yes,71,Section Page 10 -> Page 12. Category: Modified Requirement. Obligation language removed: shall Moderate textual changes detected.,10,,"The RE shall consider all relevant laws, regulations, rules, guidelines and conditions of approval, licensing or registration, when performing its due diligence in relation to outsourcing of IT services.",12,,"(i)
all relevant laws, regulations, rules, guidelines and conditions of approval, licensing or registration have been considered when performing due diligence in relation to outsourcing;",,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0037,LOW,MODIFIED,C03,Modified Requirement,Yes,74,Section Page 20 -> 70. Category: Modified Requirement.,20,,"a)
REs shall have in place a management structure to monitor and control its",31,70,70. A bank shall have in place a management structure to monitor and control its,,,
CHG-0038,MEDIUM,MODIFIED,C08,Reporting Requirement,Yes,63,Section Page 30 -> (xi). Category: Reporting Requirement. Moderate textual changes detected.,30,,"Systems (CPS) from another RE xi.
Business Correspondent (BC) services, payroll processing, statement printing",8,(xi),"(xi) Business Correspondent (BC) services, payroll processing, and statement",,,
CHG-0039,LOW,MODIFIED,C09,Documentation Requirement,Yes,71,Section Page 18 -> Page 28. Category: Documentation Requirement. Moderate textual changes detected.,18,,"(f)
In the event of multiple service provider relationships where two or more service providers collaborate to deliver an end-to-end solution, the RE remains responsible for understanding and monitoring the control environment of all service providers that have access to the RE's data, systems, records or resources.",28,,"service providers collaborate to deliver an end-to-end solution, the bank remains responsible for understanding and monitoring the control environment of all service providers that have access to its data, systems, records, or resources;",,,
CHG-0040,INFORMATIONAL,REWORDED,C17,Editorial Change,No,76,Section Page 31 -> Page 23. Category: Editorial Change.,31,,"Payment and Settlement Systems Act, 2007 for setting up and operating",23,,"and Settlement Systems Act, 2007 for setting up and operating Payment",,,
CHG-0041,LOW,MODIFIED,C03,Modified Requirement,Yes,63,Section Page 31 -> Page 24. Category: Modified Requirement. Moderate textual changes detected.,31,,IT infra/ IT services/ Information Security services in their role as independent third-party auditor/ consultant/ lead implementer.,24,,"related to IT infrastructure, IT services, or Information Security services, in their role as independent third-party auditor, consultant, or lead implementer.",,,
CHG-0042,LOW,MODIFIED,C03,Modified Requirement,Yes,64,Section (h) -> 56. Category: Modified Requirement. Moderate textual changes detected.,19,(h),(h) The RE shall ensure that cyber incidents are reported to the RE by the,25,56,56. A bank shall ensure that cyber incidents are reported to it by the service provider,,,
CHG-0043,LOW,MODIFIED,C09,Documentation Requirement,Yes,64,Section Page 22 -> Page 34. Category: Documentation Requirement. Obligation language removed: shall Moderate textual changes detected.,22,,"a)
The engagement of a service provider based in a different jurisdiction exposes the RE to country risk. To manage such risk, the RE shall closely monitor government policies of the jurisdiction in which the service provider is based and the political, social, economic and legal conditions on a continuous basis, as well as establish sound procedures for mitigating the country risk. This includes, inter alia, having appropriate contingency and exit strategies. Further, it shall be ensured that a",34,,"(i)
closely monitor government policies of the jurisdiction in which the service provider is based and the political, social, economic and legal conditions on a continuous basis, and establish sound procedures for mitigating the country risk. This includes, inter alia, having appropriate contingency and exit strategies;",,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0044,LOW,MODIFIED,C03,Modified Requirement,Yes,71,Section (g) -> 26. Category: Modified Requirement. Moderate textual changes detected.,19,(g),(g) In instances where service provider acts as an outsourcing agent for,15,26,"26. In instances, where a service provider acts as an outsourcing agent for multiple",,,
CHG-0045,INFORMATIONAL,REWORDED,C17,Editorial Change,No,74,Section Page 19 -> Page 28. Category: Editorial Change.,19,,Incident Response and Recovery Management.,28,,Response and Recovery Management.,,,
CHG-0046,LOW,MODIFIED,C03,Modified Requirement,Yes,72,Section Page 29 -> Page 35. Category: Modified Requirement.,29,,Outsourcing of Security Operations Centre,35,,F.3 Outsourcing of Security Operations Centre (SOC),,,
CHG-0047,MEDIUM,MODIFIED,C08,Reporting Requirement,Yes,70,Section Page 18 -> Page 27. Category: Reporting Requirement. Obligation language removed: shall Moderate textual changes detected.,18,,"Services that shall comprehensively deal with the processes and responsibilities for identification, measurement, mitigation, management, and reporting of risks associated with Outsourcing of IT Services arrangements.",27,,"deals with the processes and responsibilities for identification, measurement, mitigation, management, and reporting of risks associated with such IT outsourcing arrangements.",,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0048,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,69,Section Page 18 -> Page 27. Category: Threshold / Limit Change. Obligation language removed: shall Conditions removed: subject to. Moderate textual changes detected.,18,,"Board of Directors, Senior Management and IT Function. Such risk assessments shall be subject to internal and external quality assurance on a periodic basis as determined by the Board-approved policy.",27,,"with the roles and responsibilities of the Board of Directors, Senior Management, and IT Function, and subject the same to internal and external quality assurance on a periodic basis as determined by the Board-approved policy.",,ObligationDirection.REMOVED: Obligation language removed: shall Conditions removed: subject to.,
CHG-0049,LOW,MODIFIED,C15,Reference / Cross-Reference Change,Yes,71,Section Page 5 -> Page 4. Category: Reference / Cross-Reference Change. Moderate textual changes detected.,5,,"11 of the Credit Information Companies (Regulation) Act, 2005, and all other provisions/ laws enabling the Reserve Bank of India ('RBI') in this regard, the RBI being satisfied that it is necessary and expedient in the public interest to do so, hereby issues the Directions hereinafter specified.",4,,"Act, 1949, and all other provisions / laws enabling the Reserve Bank of India ('RBI') in this regard, RBI being satisfied that it is necessary and expedient in the public interest so to do, hereby, issues the Directions hereinafter specified.",,,
CHG-0050,HIGH,MODIFIED,C07,Compliance Requirement,Yes,70,Section Page 19 -> Page 28. Category: Compliance Requirement. Moderate textual changes detected.,19,,"5 As regards combining of data, it would suffice to comply with the following: A clear separation and isolation of
data (RE and its customer specific data and information) to ensure that only the personnel as authorised by the RE
is able to access data that belongs to them in a multi-tenant environment/ architecture.",28,,"stipulated in paragraph 26, it would suffice if there is clear separation and isolation of data (bank, and its customer specific data and information) to ensure that only the personnel as authorised by the bank is able to access data that belongs to them in a multi-tenant environment / architecture.",,,
CHG-0051,LOW,MODIFIED,C03,Modified Requirement,Yes,53,Section Page 22 -> Page 34. Category: Modified Requirement. Significant textual changes detected.,22,,Cross-Border Outsourcing,34,,F.2 Offshore or Cross-Border outsourcing,,,
CHG-0052,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,58,Section Page 25 -> Page 37. Category: Threshold / Limit Change. Moderate textual changes detected.,25,,"8 i.) NIST SP 800-210 General Access Control Guidance for Cloud Systems -
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-210.pdf
ii) MeitY's cloud security best practices document -
https://www.meity.gov.in/writereaddata/files/2.%20WI3_Cloud%20Security%20Best%20Practices_06112020.
pdf",37,,"General
Access
Control
Guidance
for
Cloud
Systems https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-210.pdf",,,
CHG-0053,LOW,MODIFIED,C03,Modified Requirement,Yes,71,Section Page 11 -> 58. Category: Modified Requirement.,11,,"The Senior Management of the RE shall, inter alia, be responsible for:",25,58,"58. The Senior Management of a bank shall, inter alia, be responsible for:",,,
CHG-0054,LOW,MODIFIED,C03,Modified Requirement,Yes,68,Section Page 24 -> Page 36. Category: Modified Requirement. Moderate textual changes detected.,24,,"These are generally based on the extent of technology stack that is proposed to be adopted by the consuming entity. Each of these models6 come with corresponding service, business benefit and risk profiles.",36,,generally based on the extent of technology stack that is proposed to be adopted by the consuming entity.,,,
CHG-0055,LOW,MODIFIED,C15,Reference / Cross-Reference Change,Yes,71,Section Page 5 -> Page 4. Category: Reference / Cross-Reference Change.,5,,In exercise of the powers conferred by Section 35A read with Section 56 of the Banking,4,,In exercise of the powers conferred by Section 35A of the Banking Regulation,,,
CHG-0056,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,68,Section Page 29 -> Page 35. Category: Threshold / Limit Change. Moderate textual changes detected.,29,,"(systems, software, source code, processes, concepts, etc.); b) ensure that the RE has adequate oversight and ownership over the rule definition, customisation and related data/ logs, meta-data and analytics",35,,"(ii)
ensure that the bank has adequate oversight and ownership over the rule definition, customisation and related data / logs, meta-data and analytics",,,
CHG-0057,LOW,MODIFIED,C03,Modified Requirement,Yes,57,Section Page 8 -> Page 6. Category: Modified Requirement. Moderate textual changes detected.,8,,"(hardware, software or firmware); b)
Network and security solutions, maintenance (hardware, software or firmware); c)
Application Development, Maintenance and Testing; Application",6,,"(ii)
network and security solutions, and maintenance (hardware, software or firmware);",,,
CHG-0058,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,57,Section Page 15 -> Page 17. Category: Threshold / Limit Change. Moderate textual changes detected.,15,,"Outsourcing of IT Services) the following aspects: a)
details of the activity being outsourced, including appropriate service and performance standards including for the sub-contractors, if any;",17,,"(i)
details of the activity being outsourced, including appropriate service, and performance standards;",,,
CHG-0059,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,61,Section Page 19 -> Page 27. Category: Threshold / Limit Change. Obligation language removed: shall Moderate textual changes detected.,19,,"(j)
Concentration Risk: REs shall effectively assess the impact of concentration risk posed by multiple outsourcings to the same service provider and/or the concentration risk posed by outsourcing critical or material functions to a limited number of service providers.",27,,outsourcing arrangements to the same service provider and the concentration risk posed by outsourcing critical or material functions to a limited number of service providers.,,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0060,LOW,MODIFIED,C03,Modified Requirement,Yes,61,Section Page 25 -> Page 38. Category: Modified Requirement. Moderate textual changes detected.,25,,"Considerations for selection of CSP: REs shall ensure that the selection of the CSP is based on a comprehensive risk assessment of the CSP. REs shall enter into a contract only with CSPs subject to jurisdictions that uphold enforceability of agreements and the rights available thereunder to REs, including those relating to aspects such as data storage, data protection and confidentiality.",38,,"assessment of the CSP. A bank shall enter into a contract only with CSPs that are subject to jurisdictions that uphold enforceability of agreements and the rights available thereunder to the bank, including those relating to aspects such as data storage, data protection, and confidentiality;",,,
CHG-0061,HIGH,MODIFIED,C07,Compliance Requirement,Yes,56,Section Page 12 -> Page 26. Category: Compliance Requirement. Moderate textual changes detected.,12,,"f)
ensuring an independent review and audit on a periodic basis for compliance with the legislations, regulations, Board-approved policy and performance standards and reporting the same to Board/ Board",26,,"with the legislations, regulations, Board-approved policy, and performance standards, and reporting the same to Board or a Committee of the Board; and",,,
CHG-0062,LOW,MODIFIED,C03,Modified Requirement,Yes,58,Section Page 20 -> Page 32. Category: Modified Requirement. Moderate textual changes detected.,20,,"REs to either pool their audit resources or engage an independent third- party auditor to jointly audit a common service provider. However, in doing so, it shall be the responsibility of REs in ensuring that the audit",32,,"from the same third-party service provider. In such scenarios, in lieu of conducting separate audits by individual REs of the common service provider, they may adopt pooled (shared) audit. This allows the relevant REs to either pool their audit resources or engage an independent third-party auditor to jointly audit a common service provider. However, in doing so, it shall be the responsibility of REs in ensuring that the audit requirements related to their respective contract with the service pr",,,
CHG-0063,LOW,MODIFIED,C03,Modified Requirement,Yes,67,Section 17 -> Page 27. Category: Modified Requirement. Moderate textual changes detected.,18,17,17. Risk Management Framework,27,,D.1 Risk Management Framework,,,
CHG-0064,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,60,Section Page 21 -> Page 32. Category: Threshold / Limit Change. Moderate textual changes detected.,21,,"requirements related to their respective contract with the service provider are met effectively. d)
The audits shall assess the performance of the service provider, adequacy of the risk management practices adopted by the service provider, compliance with laws and regulations, etc. The frequency of the audit shall be determined based on the nature and extent of risk and impact to the RE from the outsourcing arrangements. Reports on the monitoring and control activities shall be reviewed periodic",32,,"adequacy of the risk management practices adopted by the service provider, and compliance with laws and regulations. The frequency of the audit shall be determined based on the nature and extent of risk, and impact on the bank from the outsourcing arrangements. Reports on the monitoring and control activities shall be reviewed periodically by the Senior Management, and in case of any adverse development, the same shall be put up to the Board for information.",,,
CHG-0065,MEDIUM,MODIFIED,C13,Exception / Exemption Change,Yes,57,Section Page 7 -> Page 5. Category: Exception / Exemption Change. Moderate textual changes detected.,7,,"(b)
In the case of foreign banks operating in India through branch mode, reference to the Board or Board of Directors in these Directions should be read as reference to the Head Office or controlling office which has the oversight over the branch operations in India. Further, such foreign banks shall be subject to a 'comply or explain' approach wherein such foreign banks, may deviate from any specific part of these Directions subject to examination and acceptance by the RBI of a reasonably justi",5,,"Provided that in respect of foreign banks operating in India through branch mode, any reference to the Board or Board of Directors in these Directions shall be read as a reference to the Head Office or Controlling Office that has oversight over the branch operations in India. Additionally, with respect to the Directions contained in",,,
CHG-0066,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,60,Section Page 12 -> (vii). Category: Threshold / Limit Change. Moderate textual changes detected.,12,,"Committee; and g)
creating essential capacity with required skillsets within the organisation for proper oversight of outsourced activities.",26,(vii),(vii) creating essential capacity with required skillsets within the bank for proper,,,
CHG-0067,LOW,MODIFIED,C03,Modified Requirement,Yes,61,Section Page 17 -> Page 30. Category: Modified Requirement. Moderate textual changes detected.,17,,"n)
right to seek information from the service provider about the third parties",30,,"(xi)
right to seek information from the service provider about the third parties (in the supply chain) engaged by the former;",,,
CHG-0068,LOW,MODIFIED,C15,Reference / Cross-Reference Change,Yes,54,Section Page 14 -> (4). Category: Reference / Cross-Reference Change. Significant textual changes detected.,14,,"4 Sub-contractor in this Master Direction refers only to those providing material / significant IT services to the TPSP
specific to the material IT Services arrangement that the RE has entered into with the TPSP.",24,(4),(4) 'Sub-contractor' refers to those providing material / significant IT services to,,,
CHG-0069,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,58,Section Page 11 -> 77. Category: Threshold / Limit Change. Moderate textual changes detected.,11,,REs shall create an inventory of services provided by the service providers,33,77,77. A bank shall create an inventory of IT services outsourced to service providers,,,
CHG-0070,HIGH,MODIFIED,C07,Compliance Requirement,Yes,58,Section Page 17 -> Page 30. Category: Compliance Requirement. Moderate textual changes detected.,17,,"RBI or person(s) authorised by it to access the RE's IT infrastructure, applications, data, documents, and other necessary information given to, stored or processed by the service provider and/ or its sub-contractors in relation and as applicable to the scope of the outsourcing arrangement; p)
including clauses making the service provider contractually liable for the performance and risk management practices of its sub-contractors; q)
obligation of the service provider to comply with directions ",30,,"(xii)
right of RBI or person(s) authorised by it to perform inspection of the service provider and any of its sub-contractors and access the bank's IT infrastructure, applications, data, documents, and other necessary information given to, stored or processed by the service provider / or its sub- contractors, in relation and as applicable to the scope of the outsourcing arrangement;",,,
CHG-0071,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,53,Section Page 24 -> Page 37. Category: Threshold / Limit Change. Significant textual changes detected.,24,,"factors, viz., multi-tenancy, multi-location storing/ processing of data, etc., and attendant risks, while establishing appropriate risk management framework. Cloud security is a shared responsibility between the RE and the Cloud Service Provider",37,,"location storing or processing of data, and attendant risks while establishing appropriate risk management framework;",,,
CHG-0072,MEDIUM,MODIFIED,C15,Reference / Cross-Reference Change,Yes,56,Section Page 9 -> Page 8. Category: Reference / Cross-Reference Change. New obligation language introduced: may Moderate textual changes detected.,9,,"Information Technology Act, 2000 or Companies Act, 2013 and Rules made thereunder or any statutory modification or re-enactment thereto or as used in",8,,"Act, 2013 and Rules made thereunder, or any statutory modification or re-enactment thereto, or Glossary of Terms published by RBI or as used in commercial parlance, as the case may be.",,ObligationDirection.INTRODUCED: New obligation language introduced: may,
CHG-0073,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,56,Section Page 18 -> Page 27. Category: Threshold / Limit Change. Obligation language removed: shall Moderate textual changes detected.,18,,"(c)
REs shall be responsible for the confidentiality and integrity of data and information pertaining to the customers that is available to the service provider.",27,,information pertaining to its customers that are available to the service provider.,,ObligationDirection.REMOVED: Obligation language removed: shall,
CHG-0074,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,56,Section Page 19 -> Page 25. Category: Threshold / Limit Change. Moderate textual changes detected.,19,,"service provider without undue delay, so that the incident is reported by the",25,,"without undue delay, so that an incident is reported by the bank to the RBI within six hours of detection by the service provider.",,,
CHG-0075,MEDIUM,MODIFIED,C04,Threshold / Limit Change,Yes,51,Section Page 27 -> Page 40. Category: Threshold / Limit Change. Significant textual changes detected.,27,,Recovery (DR) drills at various levels of cloud services including necessary stakeholders.,40,,"preparedness and readiness for cyber resilience as regards cloud services in use by them through, inter alia, robust incident response and recovery practices including conduct of DR drills at various levels of cloud services including necessary stakeholders;",,,
CHG-0076,LOW,MODIFIED,C12,Definition Change,Yes,56,Section Page 15 -> Page 16. Category: Definition Change. Moderate textual changes detected.,15,,"The agreement shall be sufficiently flexible to allow the RE to retain adequate control over the outsourced activity and the right to intervene with appropriate measures to meet legal and regulatory obligations. d)
The agreement shall also bring out the nature of legal relationship between the parties.",16,,"arrangement are carefully defined in written agreements and vetted by the bank's legal counsel on their legal effect and enforceability. The agreement shall appropriately reckon the associated risks and the strategies for mitigating or managing them. The bank shall ensure that such an agreement is sufficiently flexible to allow it to retain an appropriate level of control over the outsourcing, and the right to intervene with appropriate measures to meet legal and regulatory obligations. The agre",,,
CHG-0077,HIGH,MODIFIED,C07,Compliance Requirement,Yes,51,Section Page 27 -> Page 40. Category: Compliance Requirement. Obligation relaxed from 'shall' to 'should' Significant textual changes detected.,27,,"a) the exit strategy and service level stipulations in the SLA shall factor in, inter alia, i) agreed processes and turnaround times for returning the RE's service
collaterals and data held by the CSP;",40,,"(a)
factor, inter alia, agreed processes and turnaround times for returning the bank's service collaterals and data held by the CSP; data completeness and portability; secure purge of bank's information from the CSP's environment; smooth transition of services; and unambiguous definition of liabilities, damages, penalties and indemnities, which should also be a part of the service level stipulations in SLA;",,ObligationDirection.RELAXED: Obligation relaxed from 'shall' to 'should',
